chrom,start,end,window_id,n_l1,mean_l1_divergence,n_young_l1,n_genes
chr3,6601219,6820582,w13830,49,200.735,12,1
chr1,30333011,30552374,w13831,28,173.571,8,0
chr6,169974438,170193801,w13832,43,216.605,6,0
chr16,15393496,15612859,w13833,40,194.7,4,4
chr13,42106335,42325698,w13834,46,197.283,9,2
chr14,88907156,89126519,w13835,32,223.125,0,2
chr15,31343520,31562883,w13836,22,148.773,9,0
chr6,146873257,147092620,w13837,50,166.92,16,3
chr8,76772096,76991459,w13838,52,177.462,18,2
chr8,772136,991499,w13839,28,188.0,7,0
chr2,97233161,97452524,w13840,33,224.273,0,10
chr10,72151581,72370944,w13841,34,226.853,0,2
chr12,66906989,67126352,w13842,43,181.279,12,2
chr10,73197817,73417180,w13843,40,176.175,7,2
chr13,22600787,22820150,w13844,39,184.282,7,4
chr2,30842256,31061619,w13845,34,172.882,8,1
chr13,55409248,55628611,w13846,55,202.509,15,0
chr3,51605833,51825196,w13847,41,180.0,7,3
chr17,81502115,81721478,w13848,53,225.717,2,1
chr4,28314751,28534114,w13849,43,183.558,17,0
chr8,3265319,3484682,w13850,46,161.891,21,0
chr8,135677112,135896475,w13851,53,195.0,7,2
chr4,103206627,103425990,w13852,38,184.211,8,4
chr5,76878738,77098101,w13853,38,187.658,8,2
chr3,69749146,69968509,w13854,44,208.477,5,1
chr9,125839192,126058555,w13855,45,215.222,4,0
chr18,30939801,31159164,w13856,46,182.217,14,0
chr5,45492272,45711635,w13857,41,161.317,17,0
chr8,13329464,13548827,w13858,27,180.481,8,1
chr16,24526100,24745463,w13859,36,200.833,6,1
chr7,140359295,140578658,w13860,74,194.23,7,4
chr15,88026115,88245478,w13861,44,197.136,4,5
chr7,5843238,6062601,w13862,51,215.941,1,4
chr7,53059866,53279229,w13863,64,223.531,8,1
chr2,88612451,88831814,w13864,44,171.273,14,5
chr2,180453740,180673103,w13865,49,192.0,16,1
chr10,28398693,28618056,w13866,42,186.69,8,2
chr15,92170995,92390358,w13867,30,220.867,5,0
chr2,50129066,50348429,w13868,33,182.636,11,1
chr18,48289492,48508855,w13869,52,204.0,5,2
chr5,136472159,136691522,w13870,42,203.857,3,5
chr6,110127572,110346935,w13871,42,189.048,8,3
chr17,80009125,80228488,w13872,14,215.929,1,0
chr18,13961242,14180605,w13873,66,184.697,15,2
chr8,88914657,89134020,w13874,40,180.7,6,1
chr4,135739883,135959246,w13875,56,218.0,13,1
chr3,158984853,159204216,w13876,27,164.222,8,2
chr4,98636659,98856022,w13877,21,169.0,6,0
chr14,56544940,56764303,w13878,67,181.821,16,0
chr5,171762377,171981740,w13879,38,178.868,9,5
chr12,112389999,112609362,w13880,44,189.977,7,3
chr3,174649066,174868429,w13881,39,176.077,8,2
chr7,143361706,143581069,w13882,42,178.81,12,3
chr5,146777268,146996631,w13883,48,203.792,11,2
chr8,33907126,34126489,w13884,43,170.209,13,0
chr9,11844019,12063382,w13885,64,197.609,18,0
chr22,48714901,48934264,w13886,36,247.389,3,1
chr18,63194873,63414236,w13887,43,192.233,6,0
chr12,131829305,132048668,w13888,61,230.393,2,4
chr2,96190023,96409386,w13889,37,195.459,9,2
chr18,56886697,57106060,w13890,50,194.16,10,0
chr17,58052587,58271950,w13891,38,209.237,3,1
chr17,34829658,35049021,w13892,26,207.462,5,0
chr7,89717295,89936658,w13893,42,177.69,13,0
chr3,76308577,76527940,w13894,25,125.2,15,1
chr13,67337656,67557019,w13895,31,199.742,9,0
chr6,43216514,43435877,w13896,31,198.613,3,9
chr5,56751770,56971133,w13897,33,196.939,2,2
chr6,75217766,75437129,w13898,55,157.673,26,1
chr9,138885168,139104531,w13899,42,225.905,1,2
chr5,157194408,157413771,w13900,50,179.56,17,1
chr12,100044670,100264033,w13901,40,193.4,6,6
chr11,15510373,15729736,w13902,42,198.119,8,1
chr8,21391230,21610593,w13903,51,187.176,12,1
chr1,76927191,77146554,w13904,44,187.659,10,2
chr19,12908572,13127935,w13905,10,179.6,2,21
chr6,63047508,63266871,w13906,40,183.35,11,0
chr7,90682210,90901573,w13907,64,193.375,22,0
chr7,30055294,30274657,w13908,52,187.731,5,4
chr5,49660661,49880024,w13909,0,,0,0
chr11,91694819,91914182,w13910,35,203.486,5,0
chr1,31840739,32060102,w13911,27,205.519,1,7
chr17,41516258,41735621,w13912,43,167.302,9,10
chr2,1651591,1870954,w13913,23,198.478,6,1
chr22,9415447,9634810,w13914,0,,0,0
chr10,82219317,82438680,w13915,90,180.322,23,0
chr1,233288258,233507621,w13916,51,186.333,12,1
chr9,14055342,14274705,w13917,18,190.056,2,1
chr5,96692351,96911714,w13918,37,182.108,9,0
chr20,63268545,63487908,w13919,36,210.833,6,1
chr13,111449097,111668460,w13920,38,195.289,8,4
chr8,38215107,38434470,w13921,19,214.421,2,5
chr7,113746132,113965495,w13922,42,174.548,14,5
chr22,8638673,8858036,w13923,2,54.0,2,0
chr11,29574360,29793723,w13924,46,205.848,12,2
chr8,120365923,120585286,w13925,48,149.0,21,3
chr6,145614307,145833670,w13926,50,197.22,12,1
chr5,169834405,170053768,w13927,62,189.419,17,1
chr12,17457841,17677204,w13928,53,174.66,15,2
chr10,66337010,66556373,w13929,56,194.357,17,1
chr16,30683895,30903258,w13930,23,185.652,3,13
chr9,56864407,57083770,w13931,0,,0,0
chr9,125256113,125475476,w13932,47,228.34,3,7
chr7,124917912,125137275,w13933,36,185.667,7,7
chr13,107732337,107951700,w13934,43,179.791,13,1
chr6,139679174,139898537,w13935,27,170.963,5,2
chr16,54549351,54768714,w13936,55,163.618,19,0
chr5,128316300,128535663,w13937,32,190.531,6,0
chr12,118673192,118892555,w13938,43,175.93,11,3
chr17,13521881,13741244,w13939,44,213.432,8,0
chr14,48181795,48401158,w13940,45,171.111,15,0
chr5,58685413,58904776,w13941,30,129.967,16,1
chr12,81819068,82038431,w13942,58,165.793,20,1
chr3,39457904,39677267,w13943,50,207.28,8,1
chr1,83534662,83754025,w13944,21,174.81,6,2
chr14,61148877,61368240,w13945,44,158.727,13,0
chr15,88181829,88401192,w13946,54,202.981,1,1
chr1,124387733,124607096,w13947,0,,0,0
chr20,59956187,60175550,w13948,56,215.571,4,4
chr7,73477240,73696603,w13949,63,184.508,22,1
chr18,10167917,10387280,w13950,32,162.344,8,0
chr14,53216665,53436028,w13951,56,189.482,8,1
chr18,43351975,43571338,w13952,42,182.238,14,1
chr16,35747445,35966808,w13953,10,32.1,10,0
chr21,15667564,15886927,w13954,49,186.408,13,2
chr10,6254074,6473437,w13955,55,185.782,12,2
chr3,122088336,122307699,w13956,40,194.0,3,5
chr6,27858013,28077376,w13957,47,181.745,8,7
chr13,81623315,81842678,w13958,68,186.662,20,0
chr2,127458334,127677697,w13959,46,213.587,6,2
chr19,11550071,11769434,w13960,25,208.08,3,11
chr3,38734437,38953800,w13961,58,188.207,17,1
chr17,58141558,58360921,w13962,19,206.053,2,0
chr8,109438009,109657372,w13963,55,177.036,13,1
chr16,66219935,66439298,w13964,44,176.75,14,0
chr20,11212909,11432272,w13965,39,197.0,6,1
chr6,108156711,108376074,w13966,28,193.964,4,3
chr12,116988014,117207377,w13967,47,225.043,1,3
chr3,79432490,79651853,w13968,36,156.056,17,2
chr15,78801066,79020429,w13969,54,188.833,11,5
chr15,1168241,1387604,w13970,0,,0,0
chr4,21010410,21229773,w13971,35,156.857,14,0
chr1,29578276,29797639,w13972,32,224.219,2,0
chr7,122081526,122300889,w13973,29,206.517,4,3
chr3,130972014,131191377,w13974,41,235.049,3,0
chr15,5847309,6066672,w13975,0,,0,0
chr4,108674559,108893922,w13976,60,167.85,22,3
chr19,19825689,20045052,w13977,47,198.17,11,6
chr21,9415146,9634509,w13978,40,220.575,15,0
chr18,55010693,55230056,w13979,32,187.5,4,2
chr10,74784735,75004098,w13980,40,203.825,1,3
chr4,92115035,92334398,w13981,55,175.291,12,1
chr15,63703470,63922833,w13982,17,209.0,1,1
chr12,89222499,89441862,w13983,40,181.825,11,1
chr21,6383455,6602818,w13984,28,180.5,11,0
chr6,94806521,95025884,w13985,36,188.778,12,1
chr1,86985844,87205207,w13986,14,134.643,6,2
chr22,19267373,19486736,w13987,48,212.708,3,7
chr16,1668992,1888355,w13988,31,228.516,3,13
chr3,18877181,19096544,w13989,48,168.75,15,0
chr13,9188974,9408337,w13990,23,225.261,13,0
chr1,9135828,9355191,w13991,26,198.615,4,3
chr9,3657468,3876831,w13992,34,191.676,8,1
chr5,118145003,118364366,w13993,57,187.509,22,1
chr6,132366707,132586070,w13994,45,191.956,9,1
chr4,78017279,78236642,w13995,46,158.826,21,1
chr4,95604487,95823850,w13996,46,179.065,14,2
chr7,149569602,149788965,w13997,54,178.519,15,1
chr4,95202539,95421902,w13998,64,189.5,16,0
chr7,147539741,147759104,w13999,51,170.784,20,0
chr9,141862599,142081962,w14000,33,237.485,0,8
chr12,26631488,26850851,w14001,48,184.104,7,3
chr11,125699763,125919126,w14002,76,178.645,24,6
chr4,45510854,45730217,w14003,58,201.345,18,0
chr1,93770253,93989616,w14004,33,191.788,6,1
chr15,85659065,85878428,w14005,28,216.714,2,1
chr17,31730488,31949851,w14006,51,186.373,3,7
chr21,18717864,18937227,w14007,42,184.571,12,0
chr20,37828196,38047559,w14008,34,222.941,1,4
chr11,81687347,81906710,w14009,66,202.197,16,1
chr17,37791363,38010726,w14010,41,195.78,5,3
chr7,17595369,17814732,w14011,50,188.24,11,1
chr14,81553812,81773175,w14012,35,203.914,8,0
chr20,28170710,28390073,w14013,0,,0,0
chr14,100681991,100901354,w14014,79,222.089,24,1
chr6,96109851,96329214,w14015,51,198.51,15,0
chr6,22859020,23078383,w14016,48,170.875,13,0
chr4,149044484,149263847,w14017,25,217.88,0,1
chr5,74103686,74323049,w14018,42,183.095,6,1
chr15,65456840,65676203,w14019,29,172.207,4,3
chr12,115492039,115711402,w14020,38,171.158,13,0
chr4,64892942,65112305,w14021,23,190.826,6,0
chr12,113660244,113879607,w14022,22,190.273,1,1
chr6,42523076,42742439,w14023,38,188.263,3,8
chr9,134511182,134730545,w14024,54,175.815,18,5
chr6,68352523,68571886,w14025,72,192.5,28,0
chr8,26208433,26427796,w14026,49,199.245,9,1
chr13,96916066,97135429,w14027,52,170.115,11,0
chr13,56586087,56805450,w14028,54,166.648,22,0
chr13,79252805,79472168,w14029,25,199.72,4,0
chr6,68890421,69109784,w14030,71,182.718,25,0
chr12,48919495,49138858,w14031,15,173.667,1,12
chr3,93166028,93385391,w14032,0,,0,0
chr7,124011910,124231273,w14033,50,190.4,11,3
chr9,14236311,14455674,w14034,15,207.0,3,1
chr12,53815083,54034446,w14035,24,162.5,8,17
chr18,43047909,43267272,w14036,40,220.85,8,0
chr4,182180857,182400220,w14037,43,200.512,7,0
chr16,83287944,83507307,w14038,29,155.966,12,1
chr5,58423972,58643335,w14039,39,201.795,14,1
chr9,80138298,80357661,w14040,80,185.65,23,4
chr15,65230722,65450085,w14041,32,189.938,4,3
chr12,2084595,2303958,w14042,20,172.2,4,2
chr16,4660717,4880080,w14043,30,220.5,2,10
chr15,40842115,41061478,w14044,70,180.071,16,4
chr4,43732908,43952271,w14045,48,176.583,16,0
chr22,9019910,9239273,w14046,30,170.733,10,0
chr19,35019200,35238563,w14047,47,200.064,5,5
chr7,145878078,146097441,w14048,45,189.356,8,1
chr1,58568322,58787685,w14049,17,185.059,4,4
chr4,142110883,142330246,w14050,30,167.967,9,1
chr16,19446981,19666344,w14051,36,208.722,1,5
chr20,52116831,52336194,w14052,38,220.395,2,1
chr15,6188327,6407690,w14053,0,,0,0
chr6,130861834,131081197,w14054,41,223.512,4,2
chr1,8633959,8853322,w14055,22,211.955,0,5
chr8,140460841,140680204,w14056,50,208.14,7,0
chr6,94951646,95171009,w14057,49,179.796,19,0
chr2,56508299,56727662,w14058,61,159.82,25,0
chr2,61984951,62204314,w14059,57,192.93,7,1
chr2,3395577,3614940,w14060,44,205.068,4,8
chr3,122327468,122546831,w14061,35,219.914,3,4
chr13,18817466,19036829,w14062,44,209.477,3,2
chr6,142411695,142631058,w14063,70,216.114,11,0
chr7,76053327,76272690,w14064,34,219.618,2,5
chr10,57997649,58217012,w14065,58,185.862,14,1
chr20,38751115,38970478,w14066,47,203.766,1,3
chr13,91743835,91963198,w14067,63,168.651,23,1
chr11,47952272,48171635,w14068,32,169.281,4,2
chr13,67796670,68016033,w14069,69,192.145,14,0
chr12,109012084,109231447,w14070,62,188.806,7,5
chr12,84787190,85006553,w14071,46,195.478,9,1
chr8,24437006,24656369,w14072,63,177.952,26,2
chr9,32680578,32899941,w14073,51,174.824,13,1
chr7,20345437,20564800,w14074,33,187.273,10,5
chr6,128710364,128929727,w14075,60,207.933,14,3
chr4,40149527,40368890,w14076,36,224.139,2,3
chr5,42619376,42838739,w14077,27,198.074,10,1
chr7,9387613,9606976,w14078,45,188.956,13,0
chr9,74942258,75161621,w14079,0,,0,0
chr8,87964660,88184023,w14080,53,189.566,10,1
chr2,42601500,42820863,w14081,52,199.231,4,2
chr5,92806695,93026058,w14082,52,194.212,12,0
chr6,126762433,126981796,w14083,53,165.887,17,4
chr12,80871999,81091362,w14084,57,178.754,21,3
chr5,29959213,30178576,w14085,54,181.63,16,1
chr1,212295220,212514583,w14086,53,193.491,9,1
chr1,98752570,98971933,w14087,42,163.643,18,2
chr8,134016296,134235659,w14088,22,220.273,5,3
chr3,173599635,173818998,w14089,61,194.328,14,3
chr8,93470108,93689471,w14090,38,173.868,15,0
chr9,75464491,75683854,w14091,0,,0,0
chr19,53504671,53724034,w14092,26,239.885,1,9
chr11,80032684,80252047,w14093,32,174.594,12,0
chr1,136729319,136948682,w14094,0,,0,0
chr6,62687413,62906776,w14095,44,161.727,23,0
chr14,80183659,80403022,w14096,47,168.638,21,1
chr4,167507316,167726679,w14097,47,179.021,16,1
chr19,36937149,37156512,w14098,56,228.446,3,3
chr8,86202369,86421732,w14099,57,165.825,19,0
chr2,176251125,176470488,w14100,41,157.122,15,0
chr4,127958378,128177741,w14101,44,202.477,11,1
chr18,51969703,52189066,w14102,47,178.787,14,0
chr22,19692572,19911935,w14103,65,209.569,3,6
chr16,33434345,33653708,w14104,50,205.68,11,2
chr5,54480064,54699427,w14105,54,157.352,22,1
chr14,66028340,66247703,w14106,52,179.519,12,1
chr3,174014541,174233904,w14107,38,188.711,8,0
chr6,44603390,44822753,w14108,40,158.35,14,0
chr12,86618348,86837711,w14109,62,173.484,23,2
chr21,23051068,23270431,w14110,61,167.869,26,1
chr7,86860233,87079596,w14111,63,177.571,26,0
chr8,38087245,38306608,w14112,21,210.905,2,5
chr3,178972433,179191796,w14113,56,196.804,11,0
chr6,11580674,11800037,w14114,37,174.676,9,1
chr1,54742249,54961612,w14115,26,213.385,2,4
chr16,79444332,79663695,w14116,34,207.176,6,0
chr1,176875675,177095038,w14117,57,190.263,16,1
chr12,16808443,17027806,w14118,56,196.732,18,1
chr4,56175985,56395348,w14119,38,161.026,11,6
chr7,3676862,3896225,w14120,53,197.981,10,0
chr4,69166702,69386065,w14121,55,183.764,21,0
chr6,124015822,124235185,w14122,57,173.228,19,1
chr9,76450464,76669827,w14123,0,,0,0
chr11,84107984,84327347,w14124,31,168.387,13,1
chr19,48010536,48229899,w14125,31,210.032,0,7
chr5,164985757,165205120,w14126,36,180.889,11,2
chr9,34952675,35172038,w14127,21,175.952,4,9
chr18,71904148,72123511,w14128,58,196.483,17,1
chr4,191364430,191583793,w14129,56,225.143,3,2
chr16,88748013,88967376,w14130,14,210.214,1,2
chr20,33219807,33439170,w14131,35,219.429,3,6
chr16,49914853,50134216,w14132,0,,0,0
chr9,40879280,41098643,w14133,58,198.086,10,0
chr12,124347432,124566795,w14134,17,225.941,0,0
chr7,125806546,126025909,w14135,60,172.683,17,0
chr10,86112143,86331506,w14136,61,178.951,17,3
chr21,2451378,2670741,w14137,36,171.083,12,1
chr4,185323876,185543239,w14138,28,156.679,7,3
chr14,59142212,59361575,w14139,29,203.828,0,6
chr8,138244768,138464131,w14140,35,190.371,8,0
chr3,169181684,169401047,w14141,61,193.885,15,0
chr11,38897675,39117038,w14142,57,172.439,22,0
chr14,84371075,84590438,w14143,39,187.949,4,2
chr9,19591994,19811357,w14144,49,152.082,20,1
chr16,71238876,71458239,w14145,36,166.778,16,1
chr5,104284984,104504347,w14146,30,212.467,3,0
chr18,70201538,70420901,w14147,57,182.667,18,1
chr11,61213505,61432868,w14148,30,206.133,1,10
chr15,19921376,20140739,w14149,66,221.788,7,2
chr4,70429366,70648729,w14150,36,156.333,17,0
chr7,1956168,2175531,w14151,40,269.825,0,2
chr18,47582213,47801576,w14152,23,214.435,4,0
chr1,751742,971105,w14153,15,208.933,0,19
chr6,124576333,124795696,w14154,18,141.389,10,1
chr14,609545,828908,w14155,21,140.762,11,0
chr13,12881712,13101075,w14156,28,125.75,16,0
chr16,55134337,55353700,w14157,32,215.75,5,2
chr13,54140828,54360191,w14158,47,204.0,11,0
chr20,47352111,47571474,w14159,44,168.091,12,12
chr8,16467101,16686464,w14160,56,198.911,16,0
chr10,53361230,53580593,w14161,48,183.542,17,0
chr16,75471507,75690870,w14162,41,207.659,2,4
chr12,18165251,18384614,w14163,26,203.077,6,0
chr2,227956447,228175810,w14164,44,196.068,9,9
chr5,178296265,178515628,w14165,70,197.786,8,4
chr9,16402880,16622243,w14166,17,177.294,5,0
chr13,24116334,24335697,w14167,54,192.185,13,3
chr9,75498725,75718088,w14168,0,,0,0
chr14,49395972,49615335,w14169,49,215.143,2,4
chr16,50512563,50731926,w14170,0,,0,0
chr4,183329013,183548376,w14171,48,201.312,12,0
chr10,26926842,27146205,w14172,44,176.364,17,2
chr9,53870702,54090065,w14173,0,,0,0
chr3,46154212,46373575,w14174,65,189.415,13,3
chr8,91639799,91859162,w14175,39,181.692,11,2
chr9,112339438,112558801,w14176,60,199.683,11,1
chr15,21401933,21621296,w14177,88,186.966,22,1
chr7,122377484,122596847,w14178,36,166.111,12,0
chr1,175872145,176091508,w14179,35,157.114,13,0
chr8,38905561,39124924,w14180,33,194.121,3,1
chr16,5823126,6042489,w14181,38,176.395,11,0
chr9,104074823,104294186,w14182,69,211.884,5,2
chr5,118777678,118997041,w14183,47,162.681,26,1
chr18,69045399,69264762,w14184,50,192.06,16,0
chr2,114499734,114719097,w14185,60,181.783,16,0
chr5,85151181,85370544,w14186,57,187.088,12,0
chr7,84969286,85188649,w14187,56,174.714,24,0
chr13,96341259,96560622,w14188,20,164.6,5,2
chr16,38477481,38696844,w14189,46,197.587,9,2
chr1,25073339,25292702,w14190,33,185.091,3,6
chr14,19107095,19326458,w14191,37,182.135,10,1
chr12,14429927,14649290,w14192,44,195.75,10,5
chr17,5223795,5443158,w14193,43,218.535,0,8
chr18,12297401,12516764,w14194,70,205.114,16,3
chr14,44291794,44511157,w14195,56,173.875,7,4
chr3,161207460,161426823,w14196,51,182.569,13,4
chr5,99696201,99915564,w14197,62,166.258,28,0
chr19,29705735,29925098,w14198,15,58.6667,14,0
chr10,5620971,5840334,w14199,42,210.048,2,4
chr9,61076573,61295936,w14200,0,,0,0
chr18,36720502,36939865,w14201,45,203.956,6,1
chr17,51427837,51647200,w14202,15,200.6,0,7
chr13,83713565,83932928,w14203,37,168.216,15,0
chr17,49266755,49486118,w14204,23,187.348,1,16
chr2,163133663,163353026,w14205,42,207.071,8,2
chr13,2629158,2848521,w14206,0,,0,0
chr20,15830235,16049598,w14207,36,205.389,5,1
chr1,76837480,77056843,w14208,41,186.463,9,2
chr3,141409954,141629317,w14209,44,214.591,3,1
chr14,30254517,30473880,w14210,58,174.655,16,2
chr8,72918548,73137911,w14211,37,170.324,14,1
chr2,171943518,172162881,w14212,68,179.279,11,2
chr4,77461911,77681274,w14213,63,195.81,17,2
chr5,77870462,78089825,w14214,52,165.288,17,1
chr5,94565121,94784484,w14215,43,162.628,13,1
chr17,44870213,45089576,w14216,13,183.462,1,13
chr11,54015291,54234654,w14217,0,,0,0
chr13,111017761,111237124,w14218,33,206.848,3,2
chr1,127837985,128057348,w14219,37,168.432,19,0
chr6,134630389,134849752,w14220,34,155.059,13,0
chr5,80138377,80357740,w14221,26,199.538,3,1
chr16,18045467,18264830,w14222,56,182.714,11,0
chr20,20155189,20374552,w14223,56,186.75,11,1
chr6,64922491,65141854,w14224,52,130.75,26,1
chr21,34908391,35127754,w14225,39,188.974,9,2
chr1,226295780,226515143,w14226,79,197.81,12,1
chr5,72924321,73143684,w14227,36,187.028,7,3
chr14,34469470,34688833,w14228,52,180.404,14,0
chr5,776216,995579,w14229,39,238.179,6,5
chr18,71381257,71600620,w14230,55,206.491,12,0
chr3,80202116,80421479,w14231,59,180.169,21,0
chr14,62927273,63146636,w14232,32,205.938,0,2
chr3,117653431,117872794,w14233,51,182.51,11,2
chr3,52500201,52719564,w14234,34,192.176,1,9
chr7,121415602,121634965,w14235,45,202.4,11,1
chr20,55688514,55907877,w14236,39,179.154,12,2
chr9,86452029,86671392,w14237,44,196.545,10,3
chr11,88589703,88809066,w14238,39,170.641,15,0
chr1,243195164,243414527,w14239,48,185.083,11,3
chr1,204428768,204648131,w14240,26,151.423,4,6
chr1,12435737,12655100,w14241,16,154.875,8,11
chr15,47943488,48162851,w14242,53,198.906,8,5
chr3,98204901,98424264,w14243,49,195.224,15,1
chr5,176956574,177175937,w14244,29,196.172,4,8
chr10,122667982,122887345,w14245,42,189.667,7,4
chr9,136560744,136780107,w14246,31,207.581,1,3
chr6,76285051,76504414,w14247,24,163.75,6,5
chr1,47094028,47313391,w14248,30,212.1,2,7
chr7,88566097,88785460,w14249,48,175.792,12,3
chr13,6673938,6893301,w14250,15,291.0,10,0
chr3,87752890,87972253,w14251,55,176.582,17,1
chr12,67345840,67565203,w14252,28,213.286,4,3
chr1,93786141,94005504,w14253,37,202.135,6,1
chr18,39047050,39266413,w14254,32,210.5,7,0
chr20,50044969,50264332,w14255,34,235.912,4,1
chr1,141436365,141655728,w14256,0,,0,0
chr7,104913454,105132817,w14257,32,139.438,16,0
chr6,33683642,33903005,w14258,16,204.812,0,3
chr16,42404676,42624039,w14259,0,,0,0
chr9,93097555,93316918,w14260,40,208.775,4,0
chr10,81054230,81273593,w14261,54,194.315,6,7
chr3,132583679,132803042,w14262,40,219.9,1,3
chr1,104178041,104397404,w14263,39,181.641,13,0
chr12,39105064,39324427,w14264,34,184.941,11,0
chr10,63480847,63700210,w14265,33,164.182,12,2
chr15,19734521,19953884,w14266,65,187.169,19,2
chr16,87467572,87686935,w14267,52,220.481,5,3
chr10,47248408,47467771,w14268,38,200.737,6,7
chr9,118211141,118430504,w14269,56,171.893,22,0
chr18,15370971,15590334,w14270,41,168.366,16,1
chr15,54385082,54604445,w14271,59,187.017,8,1
chr17,9903074,10122437,w14272,42,199.167,4,1
chr22,20502969,20722332,w14273,22,243.773,1,9
chr6,46097757,46317120,w14274,32,169.031,11,2
chr12,51423749,51643112,w14275,49,159.816,12,1
chr12,90452641,90672004,w14276,55,175.545,20,0
chr3,41753104,41972467,w14277,89,202.831,16,0
chr11,132255966,132475329,w14278,20,186.8,5,1
chr7,67021151,67240514,w14279,59,201.424,4,2
chr7,30843585,31062948,w14280,23,227.739,0,4
chr3,1677497,1896860,w14281,48,198.583,14,0
chr13,57045769,57265132,w14282,41,176.439,14,0
chr12,67071822,67291185,w14283,42,193.857,10,2
chr8,38315976,38535339,w14284,37,195.757,0,5
chr2,110443990,110663353,w14285,47,183.0,15,7
chr9,133796148,134015511,w14286,26,206.346,3,1
chr2,32510010,32729373,w14287,50,201.12,10,4
chr5,135216318,135435681,w14288,35,197.629,1,5
chr6,165422634,165641997,w14289,40,227.5,4,0
chr17,76452212,76671575,w14290,22,205.5,2,8
chr6,153137005,153356368,w14291,42,187.81,12,0
chr10,59994244,60213607,w14292,41,160.268,15,3
chr17,26385744,26605107,w14293,0,,0,0
chr6,87680682,87900045,w14294,52,150.788,26,0
chr17,52094209,52313572,w14295,50,193.6,12,5
chr2,79980280,80199643,w14296,18,192.056,2,0
chr5,75998630,76217993,w14297,52,174.981,11,4
chr2,212973552,213192915,w14298,40,180.15,16,1
chr9,37006275,37225638,w14299,34,209.441,1,3
chr20,62939613,63158976,w14300,39,222.564,3,1
chr11,26830834,27050197,w14301,40,189.975,14,1
chr10,27700414,27919777,w14302,39,189.769,12,2
chr4,137017321,137236684,w14303,55,184.127,23,0
chr19,19151098,19370461,w14304,29,229.552,0,10
chr7,61467887,61687250,w14305,0,,0,0
chr4,31131188,31350551,w14306,31,175.129,9,1
chr22,16941211,17160574,w14307,37,195.0,13,0
chr6,60884665,61104028,w14308,2,24.5,2,0
chr6,129952691,130172054,w14309,47,184.277,14,1
chr1,43613633,43832996,w14310,48,213.312,4,3
chr3,67732832,67952195,w14311,62,179.548,17,0
chr15,49807991,50027354,w14312,51,201.961,4,5
chr7,109651695,109871058,w14313,52,182.885,7,2
chr20,31972368,32191731,w14314,4,54.0,4,0
chr1,127076595,127295958,w14315,0,,0,0
chr10,29372424,29591787,w14316,33,174.727,7,2
chr12,70415248,70634611,w14317,28,154.429,15,1
chr10,94357739,94577102,w14318,42,210.333,5,5
chr8,37492971,37712334,w14319,30,202.167,6,0
chr9,127778539,127997902,w14320,50,172.9,21,1
chr12,63055730,63275093,w14321,46,161.304,16,1
chr16,2936710,3156073,w14322,19,215.684,0,18
chr5,173820316,174039679,w14323,43,182.0,10,3
chr7,17266497,17485860,w14324,57,182.228,15,1
chr11,65687160,65906523,w14325,32,191.75,1,13
chr5,163046964,163266327,w14326,47,155.383,18,0
chr3,185895971,186115334,w14327,39,195.436,6,3
chr20,56598621,56817984,w14328,54,178.093,14,0
chr3,71412130,71631493,w14329,18,217.278,0,3
chr3,40766818,40986181,w14330,41,191.024,6,0
chr10,105814345,106033708,w14331,42,175.714,14,0
chr1,199423888,199643251,w14332,28,191.143,2,1
chr1,236548549,236767912,w14333,42,208.452,8,0
chr1,98200148,98419511,w14334,53,190.604,13,0
chr2,83529463,83748826,w14335,53,206.774,11,0
chr7,159337418,159556781,w14336,24,192.958,5,0
chr15,47604812,47824175,w14337,49,185.51,16,0
chr5,156079654,156299017,w14338,47,189.0,10,0
chr6,86758754,86978117,w14339,52,142.135,18,5
chr10,113664174,113883537,w14340,25,189.6,2,2
chr4,17509181,17728544,w14341,45,182.222,12,2
chr7,17268643,17488006,w14342,57,182.228,15,1
chr6,56371554,56590917,w14343,23,174.957,6,1
chr5,137247206,137466569,w14344,61,174.459,23,0
chr6,76847597,77066960,w14345,38,190.526,6,1
chr1,55221279,55440642,w14346,36,168.833,16,0
chr17,24432380,24651743,w14347,0,,0,0
chr21,15731375,15950738,w14348,48,205.542,8,2
chr16,53232202,53451565,w14349,52,184.038,20,2
chr1,213101578,213320941,w14350,26,178.038,7,3
chr13,39045526,39264889,w14351,46,169.152,16,0
chr9,91627173,91846536,w14352,26,183.538,6,2
chr2,135816890,136036253,w14353,66,181.227,15,2
chr19,61268341,61487704,w14354,31,218.645,0,17
chr14,84234247,84453610,w14355,45,180.111,7,1
chr2,202137290,202356653,w14356,34,174.5,7,3
chr20,19759167,19978530,w14357,42,202.19,8,1
chr2,107213615,107432978,w14358,45,178.222,8,1
chr7,143719644,143939007,w14359,42,236.048,3,0
chr2,127887308,128106671,w14360,39,185.641,7,5
chr2,117325570,117544933,w14361,53,183.66,19,0
chr21,16137992,16357355,w14362,42,186.476,16,4
chr9,115904650,116124013,w14363,64,199.609,14,0
chr4,152000974,152220337,w14364,36,196.306,7,0
chr14,14808803,15028166,w14365,21,199.905,3,8
chr17,6968383,7187746,w14366,34,221.265,5,13
chr18,66477334,66696697,w14367,60,198.033,13,0
chr19,38719536,38938899,w14368,22,223.091,0,2
chr18,37864053,38083416,w14369,27,167.259,9,0
