,Term Name,Term ID,class_name,divergence_group
494,anatomical structure morphogenesis,GO:0009653,TE_all,highest
495,nucleolus,GO:0005730,TE_all,highest
496,kainate selective glutamate receptor activity,GO:0015277,TE_all,highest
497,protein-lysine 6-oxidase activity,GO:0004720,TE_all,highest
498,neuroligin family protein binding,GO:0097109,TE_all,highest
499,"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor",GO:0016641,TE_all,highest
500,epithelial cell differentiation involved in prostate gland development,GO:0060742,TE_all,highest
501,central nervous system vasculogenesis,GO:0022009,TE_all,highest
502,smooth muscle tissue development,GO:0048745,TE_all,highest
503,positive regulation of cartilage development,GO:0061036,TE_all,highest
504,kainate selective glutamate receptor complex,GO:0032983,TE_all,highest
505,neuron recognition,GO:0008038,TE_all,highest
506,adenylate cyclase inhibitor activity,GO:0010855,TE_all,highest
507,collagen type XI trimer,GO:0005592,TE_all,highest
508,forebrain development,GO:0030900,TE_all,highest
509,regulation of synapse assembly,GO:0051963,TE_all,highest
510,cell junction,GO:0030054,TE_all,highest
511,protein folding,GO:0006457,TE_all,highest
512,membrane,GO:0016020,TE_all,highest
513,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,GO:0007193,TE_all,highest
514,heterophilic cell-cell adhesion,GO:0007157,TE_all,highest
515,mammary gland development,GO:0030879,TE_all,highest
