Term ID	Term Name	Functional group	class_name	FDR	Fold Enrichment	Overlap Count
GO:0034449	protein kinase 5 complex	Other	DNA	0.00011	15.14	3.0
GO:0060933	positive regulation of secondary heart field cardioblast proliferation	Embryogenesis	DNA	0.00011	9.08	5.0
GO:0060157	mammary placode formation	Embryogenesis	DNA	0.00011	8.43	5.0
GO:0021535	cell differentiation in hindbrain	Embryogenesis	DNA	0.00011	4.15	11.0
GO:0060273	embryonic skeletal limb joint morphogenesis	Embryogenesis	DNA	0.00012	4.78	9.0
GO:0030098	definitive hemopoiesis	Other immune processes	DNA	0.00012	2.65	24.0
GO:0045618	positive regulation of neuroblast proliferation	Cell cycle/cell division	DNA	0.00012	4.21	11.0
GO:0097127	beta-catenin-TCF7L2 complex	Signaling pathways	DNA	0.00012	13.46	3.0
GO:0070498	atrioventricular bundle cell differentiation	Embryogenesis	DNA	0.00013	10.60	4.0
GO:0035080	somatic stem cell population maintenance	Cell cycle/cell division	DNA	0.00013	2.70	23.0
GO:0009880	embryonic pattern specification	Embryogenesis	DNA	0.00013	1.82	56.0
GO:0048709	oligodendrocyte differentiation	Embryogenesis	DNA	0.00014	2.37	31.0
GO:0045444	fat cell differentiation	Embryogenesis	DNA	0.00015	1.84	53.0
GO:0016579	protein deubiquitination	Protein ubiquitination and degradation	DNA	0.00015	1.96	42.0
GO:0031103	positive regulation of neuron projection development	Nervous system	DNA	0.00015	1.44	129.0
GO:0061050	positive regulation of cardiac muscle cell proliferation	Embryogenesis	DNA	0.00015	4.05	12.0
GO:0090280	positive regulation of brown fat cell differentiation	Embryogenesis	DNA	0.00015	5.16	8.0
GO:0035903	aorta morphogenesis	Embryogenesis	DNA	0.00016	3.17	18.0
GO:0060325	face morphogenesis	Embryogenesis	DNA	0.00016	2.29	34.0
GO:0060930	cardiac neural crest cell migration involved in outflow tract morphogenesis	Embryogenesis	DNA	0.00016	6.83	6.0
GO:0021503	forebrain dorsal/ventral pattern formation	Embryogenesis	DNA	0.00016	4.35	11.0
GO:0005730	nucleolus	Potential new group	DNA	0.00016	1.37	131.0
GO:0061386	neural crest cell migration involved in autonomic nervous system development	Nervous system	DNA	0.00017	12.11	4.0
GO:0099119	excitatory synapse assembly	Nervous system	DNA	0.00017	3.58	14.0
GO:0033235	type B pancreatic cell differentiation	Embryogenesis	DNA	0.00017	6.06	7.0
GO:0060485	ureter development	Embryogenesis	DNA	0.00017	5.16	8.0
GO:0048914	trigeminal nerve development	Nervous system	DNA	0.00017	4.21	11.0
GO:0048793	pronephros development	Embryogenesis	DNA	0.00018	5.30	8.0
GO:0060538	muscle tissue morphogenesis	Embryogenesis	DNA	0.00018	1.85	50.0
GO:0072205	vocal learning	Nervous system	DNA	0.00018	12.11	4.0
GO:0072044	metanephric mesenchyme development	Embryogenesis	DNA	0.00019	3.88	12.0
GO:0030507	positive regulation of gastrulation	Embryogenesis	DNA	0.00019	5.43	8.0
GO:0003204	atrial cardiac muscle tissue morphogenesis	Embryogenesis	DNA	0.00019	4.48	10.0
GO:0001759	organ induction	Embryogenesis	DNA	0.00021	3.32	16.0
GO:0001704	anterior/posterior axis specification, embryo	Embryogenesis	DNA	0.00021	3.44	15.0
GO:0071330	cellular response to follicle-stimulating hormone stimulus	Other	DNA	0.00022	9.08	5.0
GO:0016491	oxidoreductase activity	Too general	DNA	0.00024	1.13	314.0
GO:0045087	innate immune response	Other immune processes	DNA	0.00024	1.44	122.0
GO:0004879	nuclear receptor activity	Transcription and its regulation	DNA	0.00024	2.29	32.0
GO:0045775	negative regulation of osteoblast differentiation	Embryogenesis	DNA	0.00024	3.24	17.0
GO:0005765	lysosomal membrane	Potential new group	DNA	0.00024	1.58	81.0
GO:0006955	immune response	Other immune processes	DNA	0.00024	1.38	147.0
GO:0044057	signal transduction involved in regulation of gene expression	Signaling pathways	DNA	0.00025	1.86	47.0
GO:0071625	vocalization behavior	Sensory system	DNA	0.00025	4.05	12.0
GO:0031555	histone deacetylase binding	Transcription and its regulation	DNA	0.00025	2.41	28.0
GO:0010629	negative regulation of gene expression	Transcription and its regulation	DNA	0.00025	1.21	255.0
GO:0030154	cell maturation	Embryogenesis	DNA	0.00026	1.21	250.0
GO:0021541	dentate gyrus development	Nervous system	DNA	0.00027	5.16	8.0
GO:0097125	beta-catenin-TCF complex	Signaling pathways	DNA	0.00027	8.09	5.0
GO:0003201	endocardial cushion development	Embryogenesis	DNA	0.00027	4.35	10.0
GO:0004970	glutamate receptor activity	Nervous system	DNA	0.0003	3.24	16.0
GO:0045596	negative regulation of cell differentiation	Embryogenesis	DNA	0.00032	1.31	171.0
GO:0001570	vasculogenesis	Embryogenesis	DNA	0.00034	2.18	33.0
GO:0048699	generation of neurons	Nervous system	DNA	0.00034	1.29	189.0
GO:0060443	epithelial tube branching involved in lung morphogenesis	Embryogenesis	DNA	0.00034	4.15	11.0
GO:0007416	axonal fasciculation	Nervous system	DNA	0.00035	4.05	11.0
GO:0042476	odontogenesis	Embryogenesis	DNA	0.00035	2.11	35.0
GO:0003682	chromatin DNA binding	Transcription and its regulation	DNA	0.00036	1.71	55.0
GO:0004851	cysteine-type deubiquitinase activity	Protein ubiquitination and degradation	DNA	0.00038	2.11	34.0
GO:0008013	beta-catenin binding	Embryogenesis	DNA	0.00038	1.79	46.0
GO:0021702	cerebellar granule cell differentiation	Nervous system	DNA	0.00038	5.16	8.0
GO:0021879	forebrain neuron differentiation	Nervous system	DNA	0.00038	1.85	42.0
GO:0022416	semicircular canal morphogenesis	Sensory system	DNA	0.00038	4.05	11.0
GO:0003194	sinoatrial node development	Embryogenesis	DNA	0.0004	8.09	5.0
GO:0021516	dorsal spinal cord development	Nervous system	DNA	0.0004	4.48	9.0
GO:0051056	small GTPase binding	Other	DNA	0.0004	1.44	97.0
GO:0008289	lipid binding	Signaling pathways	DNA	0.00041	1.44	96.0
GO:0031901	early endosome membrane	Potential new group	DNA	0.00041	2.55	21.0
GO:0003176	aortic valve morphogenesis	Embryogenesis	DNA	0.00042	5.43	7.0
GO:0001702	mesoderm formation	Embryogenesis	DNA	0.00043	4.35	9.0
GO:0045786	negative regulation of cell cycle	Cell cycle/cell division	DNA	0.00044	1.41	105.0
GO:0006511	ubiquitin-dependent protein catabolic process	Protein ubiquitination and degradation	DNA	0.00045	1.48	85.0
GO:0060045	eyelid development in camera-type eye	Sensory system	DNA	0.00045	5.30	7.0
GO:0021762	midbrain dopaminergic neuron differentiation	Nervous system	DNA	0.00045	4.78	8.0
GO:0050839	regulation of cell-cell adhesion	Cell adhesion	DNA	0.00047	1.73	51.0
GO:0031290	retinal ganglion cell axon guidance	Sensory system	DNA	0.00047	5.16	7.0
GO:0045664	regulation of neuron differentiation	Nervous system	DNA	0.00047	1.37	123.0
GO:0021537	telencephalon development	Embryogenesis	DNA	0.00048	1.51	78.0
GO:0021612	glossopharyngeal nerve morphogenesis	Nervous system	DNA	0.00049	12.11	3.0
GO:0061051	regulation of secondary heart field cardioblast proliferation	Embryogenesis	DNA	0.00049	8.43	5.0
GO:0021501	trachea morphogenesis	Embryogenesis	DNA	0.00049	4.48	9.0
GO:0021501	forebrain anterior/posterior pattern specification	Embryogenesis	DNA	0.0005	5.16	7.0
GO:0072231	specification of loop of Henle identity	Embryogenesis	DNA	0.0005	13.46	3.0
GO:0021528	midbrain-hindbrain boundary development	Nervous system	DNA	0.00052	4.05	10.0
GO:0007626	adult locomotory behavior	Nervous system	DNA	0.00054	1.96	33.0
GO:0060419	epithelial cell differentiation involved in mammary gland alveolus development	Embryogenesis	DNA	0.00054	8.09	5.0
GO:0007416	synapse assembly	Nervous system	DNA	0.00056	1.85	40.0
GO:0060427	mesenchymal cell proliferation involved in lung development	Embryogenesis	DNA	0.00056	6.83	6.0
GO:0003007	sympathetic neuron projection guidance	Nervous system	DNA	0.00058	5.43	7.0
GO:0002376	immune system process	Other immune processes	DNA	0.00059	1.18	237.0
GO:0009792	embryo development ending in birth or egg hatching	Embryogenesis	DNA	0.00059	1.31	153.0
GO:0002088	lens morphogenesis in camera-type eye	Sensory system	DNA	0.00059	5.30	7.0
GO:0043434	homophilic cell-cell adhesion	Cell adhesion	DNA	0.00059	2.18	31.0
GO:0042426	norepinephrine biosynthetic process	Carbohydrates metabolism	DNA	0.00063	10.60	4.0
GO:0048842	negative regulation of axon extension involved in axon guidance	Nervous system	DNA	0.00065	3.24	14.0
GO:0061030	tongue development	Embryogenesis	DNA	0.00067	3.32	13.0
GO:0048598	embryonic organ development	Embryogenesis	DNA	0.00068	1.51	74.0
GO:0046983	protein dimerization activity	Too general	DNA	0.0007	1.53	67.0
GO:0021510	spinal cord development	Embryogenesis	DNA	0.00074	1.77	43.0
GO:0001958	endochondral ossification	Embryogenesis	DNA	0.00077	1.84	39.0
GO:0035019	neuronal stem cell population maintenance	Nervous system	DNA	0.00077	5.30	7.0
GO:0009891	thymus development	Embryogenesis	DNA	0.0008	2.84	17.0
GO:0021782	positive regulation of neural precursor cell proliferation	Nervous system	DNA	0.0008	2.22	27.0
GO:0005007	insulin receptor binding	Signaling pathways	DNA	0.00081	3.32	12.0
GO:0007267	cell-cell signaling	Signaling pathways	DNA	0.00081	1.21	210.0
GO:0071560	cellular response to transforming growth factor beta stimulus	Other	DNA	0.00081	1.82	40.0
GO:0006352	positive regulation of cell cycle	Cell cycle/cell division	DNA	0.00081	1.35	115.0
GO:0001649	osteoblast development	Embryogenesis	DNA	0.00084	2.60	20.0
GO:0001707	somite development	Embryogenesis	DNA	0.00084	3.17	14.0
GO:0060079	positive regulation of excitatory postsynaptic potential	Nervous system	DNA	0.00087	4.48	8.0
GO:0009409	response to cold	Other	DNA	0.00089	3.44	11.0
GO:0003713	transcription coactivator binding	Transcription and its regulation	DNA	0.00091	1.73	51.0
GO:0009888	tissue development	Too general	DNA	0.00091	1.16	245.0
GO:0030141	axon	Nervous system	DNA	0.00092	1.44	85.0
GO:0051321	meiotic cell cycle	Cell cycle/cell division	DNA	0.00095	1.81	38.0
GO:0021724	ventricular cardiac muscle tissue morphogenesis	Embryogenesis	DNA	0.00098	4.78	7.0
GO:0010975	regulation of neuron projection development	Nervous system	DNA	0.00099	1.33	139.0
GO:0005963	extracellular matrix structural constituent conferring tensile strength	Too general	DNA	0.00102	10.15	4.0
GO:0046676	positive regulation of insulin secretion	Other	DNA	0.00104	2.52	20.0
GO:0055013	cardiac muscle cell myoblast differentiation	Other	DNA	0.0011	6.06	5.0
GO:0014009	glial cell proliferation	Cell cycle/cell division	DNA	0.00111	2.29	24.0
GO:0042735	embryonic viscerocranium morphogenesis	Embryogenesis	DNA	0.00111	4.21	8.0
GO:0035082	somatic stem cell division	Cell cycle/cell division	DNA	0.00114	4.15	8.0
GO:0001968	suckling behavior	Nervous system	DNA	0.00117	12.11	3.0
GO:0001706	endoderm development	Embryogenesis	DNA	0.00122	2.37	22.0
GO:0010977	axon midline choice point recognition	Nervous system	DNA	0.00122	5.43	6.0
GO:0021543	subpallium development	Other	DNA	0.00122	4.48	8.0
GO:0001659	metanephric epithelium development	Embryogenesis	DNA	0.0013	4.05	9.0
GO:0032993	protein-DNA complex	Too general	DNA	0.0013	1.86	34.0
GO:0043583	tongue morphogenesis	Embryogenesis	DNA	0.0013	5.69	5.0
GO:0045596	cell dedifferentiation	Other	DNA	0.00134	3.88	10.0
GO:0046545	development of primary male sexual characteristics	Other	DNA	0.00134	3.83	10.0
GO:0010703	positive regulation of cartilage development	Embryogenesis	DNA	0.00142	3.10	14.0
GO:0017154	neuroligin family protein binding	Other	DNA	0.00142	15.14	2.0
GO:0004556	alpha-amylase activity	Carbohydrates metabolism	DNA	0.00147	15.14	2.0
GO:0003384	convergent extension involved in axis elongation	Other	DNA	0.00147	6.83	5.0
GO:0007422	peripheral nervous system development	Nervous system	DNA	0.0015	1.68	47.0
GO:0005179	hormone activity	Signaling pathways	DNA	0.00155	2.18	24.0
GO:0033574	response to testosterone	Other	DNA	0.00155	4.78	7.0
GO:0060076	excitatory synapse	Nervous system	DNA	0.00161	2.03	28.0
GO:0009611	response to wounding	Other	DNA	0.00164	1.37	85.0
GO:0006338	chromatin remodeling	Chromatin structure	DNA	0.00164	1.91	32.0
GO:0005783	endoplasmic reticulum	Potential new group	DNA	0.00169	1.19	153.0
GO:0060074	Schaffer collateral - CA1 synapse	Nervous system	DNA	0.00174	12.11	3.0
GO:0007413	regulation of neuron migration	Nervous system	DNA	0.00184	1.96	28.0
GO:0007548	sex differentiation	Other	DNA	0.00184	1.86	32.0
GO:0045662	negative regulation of myoblast differentiation	Other	DNA	0.00184	5.69	5.0
GO:0048701	ventricular septum development	Other	DNA	0.00184	3.17	12.0
GO:0005161	platelet-derived growth factor binding	Other	DNA	0.00193	4.48	7.0
GO:0008584	male gonad development	Embryogenesis	DNA	0.00193	2.70	16.0
GO:0001703	dorsal/ventral axis specification	Other	DNA	0.00216	3.10	12.0
GO:0003337	mesenchymal to epithelial transition	Other	DNA	0.00223	3.58	9.0
GO:0003180	pulmonary valve morphogenesis	Embryogenesis	DNA	0.00231	6.06	5.0
GO:0048659	regulation of neural precursor cell proliferation	Nervous system	DNA	0.00231	1.88	28.0
GO:0045681	positive regulation of endothelial cell differentiation	Embryogenesis	DNA	0.00244	4.15	7.0
GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis	Embryogenesis	DNA	0.00244	9.08	3.0
GO:0021915	neural tube development	Embryogenesis	DNA	0.00253	1.82	29.0
GO:0043552	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	Signaling pathways	DNA	0.00253	2.46	16.0
GO:0001228	RNA polymerase II transcription regulator complex	Transcription and its regulation	DNA	0.00253	2.03	23.0
GO:0043204	perikaryon	Too general	DNA	0.00267	1.96	24.0
GO:0003273	endocardial cushion morphogenesis	Embryogenesis	DNA	0.00277	6.83	4.0
